output_id,output_parameter,Shortened name,Description,Type,Min,Max,,,,,
1,acsys.CS.SpeedKMH,SpeedKMH,Speed in km/h,Float,0,,,,,,
2,acsys.CS.Gas,Gas,Pressure applied on gas pedal,Float,0,1,,,,,
3,acsys.CS.Brake,Brake,Pressure applied on brake pedal,Float,0,1,,,,,
4,acsys.CS.Clutch,Clutch,Pressure applied on clutch pedal,Float,0,1,,,,,
5,acsys.CS.Gear,Gear,Current gear,Int,0,max_gear,,,,,
6,acsys.CS.BestLap,BestLap,Best lap in milliseconts,Int,0,,,,,,
7,acsys.CS.CGHeight,CGHeight,Height of centre of gravity of the car from the ground,Float,0,,,,,,
8,acsys.CS.DriveTrainSpeed,DriveTrainSpeed,Speed delivered to the wheels,Float,0,,,,,,
9,acsys.CS.RPM,RPM,Engine rotations per minute,Float,0,,,,,,
10,acsys.CS.LapCount,LapCount,Lap count of current session,Int,0,,,,,,
11,acsys.CS.LapInvalidated,LapInvalidated,"1 if lap invalidated, 0 otherwise. A lap is invalidated if the car completely leaves the track.",Binary,0,1,,,,,
12,acsys.CS.LapTime,LapTime,Current lap time in milliseconds,Int,0,,,,,,
13,acsys.CS.LastLap,LastLap,Last lap time in milliseconds,Int,0,,,,,,
14,acsys.CS.NormalizedSplinePosition,NormalizedSplinePosition,"Position of the car on the normalised track spline. Normalised means the length of the spline is set to 1, and spline refers to the line along the centre of the track.",Float,0,1,,,,,
15,acsys.CS.PerformanceMeter,PerformanceMeter,Estimate of how many seconds this lap is behind the best lap at the same position,Int,0,,,,,,
16,acsys.CS.Steer,Steer,Radians of steer rotation,Float,-2pi,2pi,,,,,
17,acsys.CS.DrsEnabled,DrsEnabled,"1 if DRS is enabled, 0 otherwise",Binary,0,1,,,,,
18,acsys.CS.ERSCurrentKJ,ERSCurrentKJ,Energy used by the engine during the previous timestep,Float,0,,,,,,
19,acsys.CS.ERSMaxJ,ERSMaxJ,ignore,,,,,,,,
20,acsys.CS.RaceFinished,RaceFinished,"1 if race is finished, 0 otherwise",Binary,0,1,,,,,
21,AccG_X,AccG_X,Gravitational acceleration on the vehicle's centre of gravity in the x direction,Float,,,,,,,
22,AccG_Y,AccG_Y,Gravitational acceleration on the vehicle's centre of gravity in the y direction,Float,,,,,,,
23,AccG_Z,AccG_Z,Gravitational acceleration on the vehicle's centre of gravity in the z direction,Float,,,,,,,
24,LocalAngularVelocity_X,LocalAngularVelocity_X,"x component of car's angular velocity vector, with car as origin",Float,,,,,,,
25,LocalAngularVelocity_Y,LocalAngularVelocity_Y,"y component of car's angular velocity vector, with car as origin",Float,,,,,,,
26,LocalAngularVelocity_Z,LocalAngularVelocity_Z,"z component of car's angular velocity vector, with car as origin",Float,,,,,,,
27,LocalVelocity_X,LocalVelocity_X,Velocity of the car in the x direction with car as origin,Float,,,,,,,
28,LocalVelocity_Y,LocalVelocity_Y,Velocity of the car in the y direction with car as origin,Float,,,,,,,
29,LocalVelocity_Z,LocalVelocity_Z,Velocity of the car in the z direction with car as origin,Float,,,,,,,
30,SpeedTotal_kmh,SpeedTotal_kmh,Speed in km/h,Float,,,,,,,
31,SpeedTotal_mph,SpeedTotal_mph,Speed in miles/h,Float,,,,,,,
32,SpeedTotal_ms,SpeedTotal_ms,Speed in m/s,Float,,,,,,,
33,Velocity_X,Velocity_X,Velocity of the car in the x direction,Float,,,,,,,
34,Velocity_Y,Velocity_Y,Velocity of the car in the y direction,Float,,,,,,,
35,Velocity_Z,Velocity_Z,Velocity of the car in the z direction,Float,,,,,,,
36,WorldPosition_X,WorldPosition_X,Current car coordinates on map in x direction,Float,,,,,,,
37,WorldPosition_Y,WorldPosition_Y,Current car coordinates on map in y direction,Float,,,,,,,
38,WorldPosition_Z,WorldPosition_Z,Current car coordinates on map in z direction,Float,,,,,,,
39,WheelAngularSpeed_FL,WheelAngularSpeed_FL,Angular speed of front left wheel,Float,0,,,,,,
40,WheelAngularSpeed_FR,WheelAngularSpeed_FR,Angular speed of front right wheel,Float,0,,,,,,
41,WheelAngularSpeed_RL,WheelAngularSpeed_RL,Angular speed of rear left wheel,Float,0,,,,,,
42,WheelAngularSpeed_RR,WheelAngularSpeed_RR,Angular speed of rear right wheel,Float,0,,,,,,
43,CamberRad_FL,CamberRad_FL,Camber angle of front left wheel in radians,Float,,,,,,,
44,CamberRad_FR,CamberRad_FR,Camber angle of front right wheel in radians,Float,,,,,,,
45,CamberRad_RL,CamberRad_RL,Camber angle of rear left wheel in radians,Float,,,,,,,
46,CamberRad_RR,CamberRad_RR,Camber angle of rear right wheel in radians,Float,,,,,,,
47,CamberDeg_FL,CamberDeg_FL,Camber angle of front left wheel in degrees,Float,,,,,,,
48,CamberDeg_FR,CamberDeg_FR,Camber angle of front right wheel in degrees,Float,,,,,,,
49,CamberDeg_RL,CamberDeg_RL,Camber angle of rear left wheel in degrees,Float,,,,,,,
50,CamberDeg_RR,CamberDeg_RR,Camber angle of rear right wheel in degrees,Float,,,,,,,
51,SlipAngle_FL,SlipAngle_FL,Why is this per wheel?,Float,,,,,,,
52,SlipAngle_FR,SlipAngle_FR,Why is this per wheel?,Float,,,,,,,
53,SlipAngle_RL,SlipAngle_RL,Why is this per wheel?,Float,,,,,,,
54,SlipAngle_RR,SlipAngle_RR,Why is this per wheel?,Float,,,,,,,
55,SlipRatio_FL,SlipRatio_FL,Slip ratio of front left wheel,Float,-1,1,,,,,
56,SlipRatio_FR,SlipRatio_FR,Slip ratio of front right wheel,Float,-1,1,,,,,
57,SlipRatio_RL,SlipRatio_RL,Slip ratio of rear left wheel,Float,-1,1,,,,,
58,SlipRatio_RR,SlipRatio_RR,Slip ratio of rear right wheel,Float,-1,1,,,,,
59,Mz_FL,Mz_FL,Self-aligning torque of the front left tyre ,Float,,,,,,,
60,Mz_FR,Mz_FR,Self-aligning torque of the front right tyre ,Float,,,,,,,
61,Mz_RL,Mz_RL,Self-aligning torque of the rear left tyre ,Float,,,,,,,
62,Mz_RR,Mz_RR,Self-aligning torque of the rear right tyre ,Float,,,,,,,
63,Load_FL,Load_FL,Radius front left tyre,Float,0,,,,,,
64,Load_FR,Load_FR,Radius front right tyre,Float,0,,,,,,
65,Load_RL,Load_RL,Radius rear left tyre,Float,0,,,,,,
66,Load_RR,Load_RR,Radius rear right tyre,Float,0,,,,,,
67,TyreRadius_FL,TyreRadius_FL,Radius of front left tyre (constant),Float,0,,,,,,
68,TyreRadius_FR,TyreRadius_FR,Radius of front right tyre (constant),Float,0,,,,,,
69,TyreRadius_RL,TyreRadius_RL,Radius of rear left tyre (constant),Float,0,,,,,,
70,TyreRadius_RR,TyreRadius_RR,Radius of rear right tyre (constant),Float,0,,,,,,
71,NdSlip_FL,NdSlip_FL,Unsure,,,,,,,,
72,NdSlip_FR,NdSlip_FR,Unsure,,,,,,,,
73,NdSlip_RL,NdSlip_RL,Unsure,,,,,,,,
74,NdSlip_RR,NdSlip_RR,Unsure,,,,,,,,
75,TyreSlip_FL,TyreSlip_FL,Unsure,,,,,,,,
76,TyreSlip_FR,TyreSlip_FR,Unsure,,,,,,,,
77,TyreSlip_RL,TyreSlip_RL,Unsure,,,,,,,,
